node,status,evidence,next_or_blocker
PR57_RUNTIME_PATH_BINDING,PASS,exact-head source and CI,H1A
H1A_DOCKER_ADMISSION,PASS,workstation operation and independent verifier,durable closeout
H1A_DURABLE_CLOSEOUT,PASS,audit_sha=5d344fbf post_manifest_sha=d1054f80,H1B contract
PR58_DOCKER_BOOTSTRAP_RED,PASS_EXPECTED_RED,8 failures 0 errors,RED2
H1B_LINEAGE_CLOSURE_RED2,CANDIDATE_PENDING_CI,11 additional obligations,CI
H1B_H2_GREEN_IMPLEMENTATION,ABSENT,no package surface,RED2 pass required
HISTORICAL_ROOTFS,NOT_BUILT,no signed package closure,H1B
FULL_OS_RUNTIME_CLOSURE,NOT_ATTESTED,git ldd readelf ELF libc libgcc_s missing,H2
H3_RUST_CLOSURE,NOT_RUN,rustc driver LLVM stdlib pending,H2
H4_THIRTEEN_FIELD_CENSUS,NOT_RUN,H2 and H3 required,H2/H3
H5_SECTION0_STATIC_PREFLIGHT,NOT_RUN,H4 required,H4
GLOBAL_ATTEMPT_REF,ABSENT,HTTP 404 one attempt remains,H5 audit
NATIVE_RUNTIME,NOT_RUN,global/local/dispatch withheld,one attempt
FIRST_CANONICAL_INTERVAL,NO_PASS,runtime result audit absent,runtime audit
PROVIDER_SCIENCE,NOT_AUTHORIZED,BASS REC and runtime gates remain,all prior gates
