node,status,completion_percent,claim
PR49 freshness and live-readback source,PASS,100,source and exact-head CI only
03A3-R2 admin handoff source,CANDIDATE,90,pending exact-head CI
repository attempt-ledger ruleset,NOT_CREATED,0,no server protection receipt
03A4 target-host static preflight,NOT_RUN,0,blocked on admin readback
global attempt ref,ABSENT,0,one attempt remains
persistent local lease and dispatch,NOT_CREATED,0,no attempt consumed
native runtime,NOT_RUN,0,no runtime result
runtime-result audit,BLOCKED,0,no outcome
first canonical interval,NO_PASS,0,not authorized
provider review,NOT_AUTHORIZED,0,BASS and REC gates remain
