component,status,evidence_or_limitation
Input/hash lock,DURABLE_VERIFIED,canonical B0C/B0A/R1 inputs locked
"46,080 node state representation",IMPLEMENTED_DIAGNOSTIC,diffuse H/He populations and thermal energy
18 macro sink state representation,IMPLEMENTED_DIAGNOSTIC,H/He populations and thermal energy
Photon/nuclei identities,PASS,roundoff residuals
Quasi-static macro cloud geometry,FAIL_DIVERGENT,required mass diverges as x_HII->1
Temporal refinement,FAIL_NONCONVERGENT,"dt and dt/2 differ strongly; dt/4,dt/8 infeasible"
Node chemistry limiter,FAIL,percent-level limiter
Full seven-lane history,NOT_RUN_AFTER_PRIMARY_FAILURE,hard primary gate already failed
B2C2B authorization,DENIED,requires R2A distribution lock first
Native Wolfram,PENDING_UNAVAILABLE,reproduction script + SymPy fallback
Precise Special Functions,PENDING_UNAVAILABLE,mpmath 80-dps fallback
