component,status,evidence_or_limitation
Pre-calculation durable scaffold,DURABLE_VERIFIED,state/PRECALC_SNAPSHOT_RECEIPT.json
Canonical input hashes,PASS,three compact artifacts plus locked-member hashes
External rec_bianchi,REMOTE_UNAVAILABLE,no surrogate; adapter review not started
Global reduced-DAE moments,LOCKED,10 substeps in data/global_moment_lock.csv
Macro KL projections,PASS,30/30 strict-feasible identity projections
Mass moments,PASS,operator exact; Decimal max relative residual 2.014e-16
Opacity moments,PASS,operator exact; Decimal residuals below 1e-17
Current-Gamma relation,PASS,operator/numeric gate zero; Decimal max 2.884e-16
Macro mass caps,PASS,minimum slack/cosmic-H 4.133e-05
Macro volume filling,PASS,maximum 9.065e-02
Macro cycling capacity,PASS,minimum slack/global-J 5.438e-07
KKT dual/complementarity,PASS,30 analytic zero-dual certificates
G2b/G3 and HeII/G3 exact zeros,PASS,canonical source locks and outputs exact zero
Jeans single-size cloud,GEOMETRY_AUDITOR_ONLY,no opacity-to-mass inversion
Finite relaxation tau=10 Myr,PASS_WITNESS,30/30 absolute and shape-only
Finite relaxation tau=100 Myr,PARTIAL_FAIL_CLOSED,12/30 absolute; 18/30 shape-only
Finite relaxation tau=300 Myr,PARTIAL_FAIL_CLOSED,6/30 absolute; 12/30 shape-only
Native Wolfram,UNAVAILABLE,.wl reproduction plus SymPy/Decimal exact fallback PASS
R1 node diagnostics,PRESERVED_FAIL_CLOSED,not promoted to production
R2B authorization,AUTHORIZED,core gates plus tau=10 all-case witness
Full B2C2B authorization,DENIED,later node/history and downstream gates remain
