claim_id,domain,claim,status,evidence_class,authority_effect,next_gate
REI-MATH-001,formula,Locked Bianchi commutator and Jacobi convention,BOUND,REPOSITORY_BOUND_EVIDENCE,FORMULA_CONVENTION,NONE
REI-MATH-002,formula,Generic homogeneous spatial Ricci tensor, PASS,DIRECT_GITHUB_READBACK,FORMULA_RESEARCH_ORACLE,REI-MATH-M1B
REI-MATH-003,formula,Generic homogeneous spatial Ricci scalar,PASS,DIRECT_GITHUB_READBACK,FORMULA_RESEARCH_ORACLE,REI-MATH-M1B
REI-MATH-004,formula,Homogeneous constant-STF divergence formula,PASS,DIRECT_GITHUB_READBACK,FORMULA_RESEARCH_ORACLE,REI-MATH-M1B
REI-MATH-005,formula,Class-B mixed epsilon-n-a sign mutation sensitivity,PASS,DIRECT_GITHUB_READBACK,NUMERICAL_ADVERSARIAL_REGRESSION_ONLY,REI-MATH-M1B
REI-MATH-006,formula,Bianchi I V and IX spatial sentinels,PASS,DIRECT_GITHUB_READBACK,FORMULA_REGRESSION,REI-MATH-M1B
REI-MATH-007,formula,Positive-expansion K-plus quadratic identity,DERIVED_THREAD_SYNTHESIS,THREAD_SYNTHESIS,DESIGN_ONLY,REI-MATH-M1B
REI-MATH-008,formula,Four-dimensional Hamiltonian constraint sign,DEFERRED,THREAD_SYNTHESIS,NONE,REI-MATH-M1B
REI-MATH-009,formula,Momentum-Codazzi and matter-momentum signs,DEFERRED,THREAD_SYNTHESIS,NONE,REI-MATH-M1B
REI-MATH-010,formula,Constraint propagation,NOT_RUN,THREAD_SYNTHESIS,NONE,REI-MATH-M1C
REI-MATH-011,formula,Background numerical admission,NOT_RUN,THREAD_SYNTHESIS,NONE,REI-BACKGROUND-NUMERICAL-ADMISSION
REI-PHYS-001,physics,REI owns late reionization opacity thermochemistry and OTS values,DECLARED,REPOSITORY_BOUND_EVIDENCE,OWNERSHIP_DECLARATION,PROVIDER_ADMISSION
REI-PHYS-002,physics,REI grouped-redshift formula is a generic Bianchi transport replacement,REJECTED,THREAD_SYNTHESIS,NONE,NONE
REI-PHYS-003,physics,Cold normal-frame Thomson is finite-electron-tilt collision,REJECTED,REPOSITORY_BOUND_EVIDENCE,NONE,NONE
REI-PHYS-004,physics,First canonical interval,NO_PASS,REPOSITORY_BOUND_EVIDENCE,NONE,RUNTIME_RESULT_AUDIT
REI-PHYS-005,physics,REI provider export,NOT_AUTHORIZED,REPOSITORY_BOUND_EVIDENCE,NONE,FIRST_INTERVAL_AND_PROVIDER_REVIEW
REI-RUN-001,runtime,Undeclared ntpath import-root defect,SOURCE_CLOSED,REPOSITORY_BOUND_EVIDENCE,SOURCE_ONLY,HOST_EPOCH_RUNTIME
REI-RUN-002,runtime,Pre-lease production-import firewall,PASS_SOURCE,DIRECT_GITHUB_READBACK,RUNTIME_GOVERNANCE_SOURCE,HOST_EPOCH_RUNTIME
REI-RUN-003,runtime,Fixed GitHub authority and executing-byte binding,PASS_SOURCE,DIRECT_GITHUB_READBACK,RUNTIME_GOVERNANCE_SOURCE,HOST_EPOCH_RUNTIME
REI-RUN-004,runtime,Canonical runtime-path binding,PASS_SOURCE,DIRECT_GITHUB_READBACK,RUNTIME_GOVERNANCE_SOURCE,H1B1
REI-RUN-005,runtime,Attempt-ledger repository ruleset,ACTIVE,DIRECT_GITHUB_READBACK,LIVE_SERVER_GOVERNANCE,H1B1
REI-RUN-006,runtime,Fixed final-attempt ref,ABSENT,DIRECT_GITHUB_READBACK,READ_ONLY_OBSERVATION,H5_AND_GLOBAL_LEASE
REI-RUN-007,runtime,H1A Docker isolation mechanism,PASS_OPERATOR_EVIDENCE,OPERATOR_DURABLE_EVIDENCE,ISOLATION_MECHANISM_ONLY,H1B1
REI-RUN-008,runtime,Locked historical compiler package identity,PASS_PROVENANCE_ONLY,OPERATOR_DURABLE_EVIDENCE,PROVENANCE_ONLY,H1B1
REI-RUN-009,runtime,Current interactive host equals locked epoch,FAIL,OPERATOR_DURABLE_EVIDENCE,NONE,H1B2
REI-RUN-010,runtime,Full signed-Snapshot package census,NOT_RUN,THREAD_SYNTHESIS,NONE,H1B1
REI-RUN-011,runtime,Fresh isolated root construction,NOT_RUN,THREAD_SYNTHESIS,NONE,H1B2
REI-RUN-012,runtime,Installed-byte symlink and ELF closure,NOT_RUN,THREAD_SYNTHESIS,NONE,H2
REI-RUN-013,runtime,Rust driver LLVM and stdlib closure,NOT_RUN,THREAD_SYNTHESIS,NONE,H3
REI-RUN-014,runtime,Successor Section-0 and static preflight,NOT_RUN,THREAD_SYNTHESIS,NONE,H5
REI-RUN-015,runtime,Global attempt lease,NOT_ACQUIRED,DIRECT_GITHUB_READBACK,NONE,H5_AND_INDEPENDENT_AUDIT
REI-RUN-016,runtime,Persistent local lease and dispatch intent,NOT_CREATED,THREAD_SYNTHESIS,NONE,GLOBAL_LEASE
REI-RUN-017,runtime,Native runtime,NOT_RUN,DIRECT_GITHUB_READBACK,NONE,GLOBAL_AND_LOCAL_LEASES
REI-RUN-018,runtime,Remaining native attempts,ONE,DIRECT_GITHUB_READBACK,ATTEMPT_BUDGET,H5_AND_GLOBAL_LEASE
REI-DEP-001,dependency,BASS owns common geometry background and global tilt,BOUND,REPOSITORY_BOUND_EVIDENCE,OWNERSHIP_FIREWALL,BASS_NATIVE_BACKGROUND
REI-DEP-002,dependency,REI M1 is an independent common-geometry oracle,BOUND,DIRECT_GITHUB_READBACK,AUTHORITY_EFFECT_NONE,BASS_NATIVE_BACKGROUND
REI-DEP-003,dependency,REC primordial source provider,NOT_ADMITTED,THREAD_SYNTHESIS,NONE,REC_PROVIDER_REVIEW
REI-DEP-004,dependency,Frequency-preserving primary pair f(q e) and F_Aell(q),BOUND,REPOSITORY_BOUND_EVIDENCE,DEPENDENCY_CONTRACT,BASS_PROJECTION_AUTHORITY
REI-DEP-005,dependency,Integrated J and G need spectral closure,BOUND,REPOSITORY_BOUND_EVIDENCE,DEPENDENCY_CONTRACT,CERTIFIED_PROJECTION
REI-DEP-006,dependency,HTT owns local-observer processed response,BOUND,REPOSITORY_BOUND_EVIDENCE,OWNERSHIP_FIREWALL,COSMIC_FRAME_OUTPUT
REI-DEP-007,dependency,Local observer boost equals global or electron tilt,REJECTED,THREAD_SYNTHESIS,NONE,NONE
REI-EXT-001,external,SciSpace orthonormal-frame and Bianchi-identity methodology,RETRIEVED,METHOD_ONLY_EXTERNAL,NONE,NONE
REI-EXT-002,external,Fresh Wolfram consolidation replay,NO_RESULT_HTTP_502,METHOD_ONLY_EXTERNAL,NONE,FUTURE_OPTIONAL_REPLAY
REI-PUB-001,publication,Merge or ready transition,NOT_AUTHORIZED,THREAD_SYNTHESIS,NONE,OWNER_DECISION_AFTER_ALL_GATES
REI-PUB-002,publication,Scientific pass or statistics fitting,NOT_AUTHORIZED,THREAD_SYNTHESIS,NONE,BACKGROUND_PROVIDERS_RUNTIME_AND_VALIDATION
