node,status,completion_percent,claim
Attempt-ref repository ruleset,PASS,100,active id 22240889
Administrator ruleset readback,PASS,100,existing ruleset read-only receipt
Independent ruleset audit,PASS,100,GET-only audit and fresh receipt
Cross-CAS no-bypass sidecar,PASS_NONAUTHORITATIVE,100,SymPy mpmath Octave Sage Singular Lean
Compiler package provenance,PASS_PROVENANCE_ONLY,100,Ubuntu Snapshot package identified
03A4 path-binding structural RED,PASS_EXECUTED_RED,100,6 expected failures
03A4 active freshness path RED,PASS_EXECUTED_RED,100,4 expected failures
03A4 runtime-path-binding source,CANDIDATE,95,pending final exact-head push and PR CI
Isolated host-epoch reconstruction,NOT_RUN,0,current interactive host remains incompatible
Successor Section-0 actual receipt,NOT_RUN,0,blocked on isolated host epoch
Read-only static preflight actual receipt,NOT_RUN,0,blocked on Section-0
Global attempt ref,ABSENT,0,one attempt remains
Persistent local lease and dispatch,NOT_CREATED,0,no attempt consumed
Native worker,NOT_RUN,0,one attempt remains
Runtime-result audit,BLOCKED,0,no outcome
First canonical interval,NO_PASS,0,not authorized
Provider and scientific admission,NOT_AUTHORIZED,0,BASS REC and runtime gates remain
